mode,circuit_id,selected_step_index,matrix_size,nnz_A,selected_edge_budget,interface_solve_mode,direct_solve_baseline,gmres_used,gmres_iterations,gmres_info,true_rel_residual,chosen_success,setup_time,solve_time,total_wall_time,peak_rss_kb,status,timeout_hit,P_nnz,P_factor_fill_nnz,failure_stage,failure_reason
semantic_cell_core_sparse,0,0,177,1141,,,False,True,8,0,1.2721717782248328e-09,True,0.006011659745126963,0.002880173735320568,0.01850172784179449,385680,ok,False,,,,
local_sparse_schur_sparse,0,0,177,1141,4096,spilu,False,True,7,0,3.8762719721777976e-13,True,0.028645989950746298,0.015342760365456343,0.050045534037053585,386332,ok,False,23,39,,
interface_basis_constant_r1_sparse,0,0,177,1141,,,False,True,7,0,7.541701091716034e-13,True,0.034352755174040794,0.015786956064403057,0.055894718039780855,387920,ok,False,23,39,,
interface_basis_constant_r2_sparse,0,0,177,1141,,,False,True,7,0,8.46623878755278e-13,True,0.02923676185309887,0.015887876972556114,0.05074545228853822,387952,ok,False,23,39,,
interface_basis_constant_r4_sparse,0,0,177,1141,,,False,True,7,0,8.46623878755278e-13,True,0.029648827854543924,0.015886473935097456,0.05127633083611727,388076,ok,False,23,39,,
interface_basis_graph_laplacian_r1_sparse,0,0,177,1141,,,False,True,7,0,3.87623384311538e-13,True,0.03330979123711586,0.023993770126253366,0.06514799129217863,388096,ok,False,23,39,,
interface_basis_graph_laplacian_r2_sparse,0,0,177,1141,,,False,True,7,0,8.466238787552778e-13,True,0.03227282827720046,0.01648092409595847,0.05452482821419835,388024,ok,False,23,39,,
interface_basis_graph_laplacian_r4_sparse,0,0,177,1141,,,False,True,7,0,1.0760283731729976e-12,True,0.03236451093107462,0.015818295069038868,0.0539844511076808,388012,ok,False,23,39,,
interface_basis_snapshot_pod_r1_sparse,0,0,177,1141,,,False,True,7,0,3.928414902402762e-13,True,0.03148199897259474,0.015546762850135565,0.05296854767948389,388036,ok,False,23,39,,
interface_basis_snapshot_pod_r2_sparse,0,0,177,1141,,,False,True,7,0,3.880640911615426e-13,True,0.029009073041379452,0.015431355684995651,0.05016704276204109,388028,ok,False,23,39,,
interface_basis_snapshot_pod_r4_sparse,0,0,177,1141,,,False,True,7,0,3.876194456321697e-13,True,0.030347043182700872,0.016047175973653793,0.0523233930580318,388040,ok,False,23,39,,
interface_basis_schur_low_rank_r1_sparse,0,0,177,1141,,,False,True,7,0,3.876359017032172e-13,True,0.03078638995066285,0.016027698758989573,0.0530195040628314,388000,ok,False,23,39,,
interface_basis_schur_low_rank_r2_sparse,0,0,177,1141,,,False,True,7,0,9.882675245322988e-13,True,0.029250327963382006,0.01527883904054761,0.05061927391216159,388040,ok,False,23,39,,
interface_basis_schur_low_rank_r4_sparse,0,0,177,1141,,,False,True,7,0,1.7028991536916367e-12,True,0.02919125696644187,0.016352692153304815,0.05147475562989712,388016,ok,False,23,39,,
semantic_cell_core_sparse,2,1,240,1512,,,False,True,12,0,4.750715571251086e-10,True,0.004856084007769823,0.002729729749262333,0.014389494899660349,385872,ok,False,,,,
local_sparse_schur_sparse,2,1,240,1512,4096,spilu,False,True,9,0,2.0757850197612638e-09,True,0.029782939702272415,0.023439907003194094,0.06100472994148731,386556,ok,False,41,67,,
interface_basis_constant_r1_sparse,2,1,240,1512,,,False,True,9,0,2.075785019118819e-09,True,0.17463725619018078,0.02406816929578781,0.20587116805836558,388676,ok,False,41,67,,
interface_basis_constant_r2_sparse,2,1,240,1512,,,False,True,9,0,2.078891035597383e-09,True,0.038287794683128595,0.024216708727180958,0.0692924652248621,388740,ok,False,41,67,,
interface_basis_constant_r4_sparse,2,1,240,1512,,,False,True,9,0,2.0469089894529033e-09,True,0.037482788786292076,0.024579491931945086,0.06892970204353333,388748,ok,False,41,67,,
interface_basis_graph_laplacian_r1_sparse,2,1,240,1512,,,False,True,9,0,2.07578471112806e-09,True,0.034281641244888306,0.02260762918740511,0.07290074927732348,388776,ok,False,41,67,,
interface_basis_graph_laplacian_r2_sparse,2,1,240,1512,,,False,True,9,0,2.081181382420358e-09,True,0.03910085512325168,0.02446243166923523,0.07017757184803486,388916,ok,False,41,67,,
interface_basis_graph_laplacian_r4_sparse,2,1,240,1512,,,False,True,9,0,2.050435941726899e-09,True,0.03803681209683418,0.024534648284316063,0.06956902565434575,388812,ok,False,41,67,,
interface_basis_snapshot_pod_r1_sparse,2,1,240,1512,,,False,True,9,0,2.0810828493036637e-09,True,0.03861904889345169,0.023692952934652567,0.06908289110288024,388792,ok,False,41,67,,
