mode,circuit_id,selected_step_index,matrix_size,nnz_A,selected_edge_budget,interface_solve_mode,direct_solve_baseline,gmres_used,gmres_iterations,gmres_info,true_rel_residual,chosen_success,setup_time,solve_time,total_wall_time,peak_rss_kb,status,timeout_hit,P_nnz,P_factor_fill_nnz,failure_stage,failure_reason
row_sum,0,0,177,1141,,,False,True,12,0,8.497965529319797e-10,True,0.00017682183533906937,0.001353197731077671,0.0067873201332986355,385288,ok,False,,,,
semantic_cell_core_sparse,0,0,177,1141,,,False,True,8,0,1.2721717782248328e-09,True,0.0033308817073702812,0.0016940990462899208,0.010634765028953552,385500,ok,False,,,,
semantic_coarse_r1_sparse,0,0,177,1141,,,False,True,14,0,3.2961575252956058e-09,True,0.006933816242963076,0.00291242403909564,0.015277617145329714,385900,ok,False,,,,
semantic_coarse_r2_sparse,0,0,177,1141,,,False,True,14,0,5.361948013647432e-09,True,0.007414721883833408,0.0030322298407554626,0.015796013176441193,385860,ok,False,,,,
row_sum,2,1,240,1512,,,False,True,20,0,3.6376002242071193e-09,True,0.00018260395154356956,0.002358319703489542,0.008533307816833258,385500,ok,False,,,,
semantic_cell_core_sparse,2,1,240,1512,,,False,True,12,0,4.750715571251086e-10,True,0.004147589672356844,0.002407172229140997,0.012595116160809994,385740,ok,False,,,,
semantic_coarse_r1_sparse,2,1,240,1512,,,False,True,31,0,5.41718620806253e-09,True,0.00916984723880887,0.006724673323333263,0.021810579113662243,386024,ok,False,,,,
semantic_coarse_r2_sparse,2,1,240,1512,,,False,True,31,0,5.41718606399077e-09,True,0.009701767936348915,0.0069513991475105286,0.022720753215253353,386160,ok,False,,,,
row_sum,4,2,432,2840,,,False,True,14,0,9.773216099059534e-09,True,0.00018018996343016624,0.0016118348576128483,0.013034553732722998,386396,ok,False,,,,
semantic_cell_core_sparse,4,2,432,2840,,,False,True,8,0,1.0473076124311863e-10,True,0.007351372390985489,0.001812783069908619,0.02052535815164447,386616,ok,False,,,,
semantic_coarse_r1_sparse,4,2,432,2840,,,False,True,17,0,2.2515497837433223e-09,True,0.016965494956821203,0.004167377017438412,0.032705933786928654,387060,ok,False,,,,
semantic_coarse_r2_sparse,4,2,432,2840,,,False,True,17,0,2.251549343934703e-09,True,0.017647169064730406,0.0045926268212497234,0.033207308035343885,387572,ok,False,,,,
row_sum,8,3,354,2218,,,False,True,34,0,3.404326695897831e-09,True,0.0001877439208328724,0.003996634855866432,0.012523220852017403,385908,ok,False,,,,
semantic_cell_core_sparse,8,3,354,2218,,,False,True,14,0,1.4558412903367392e-09,True,0.005603942088782787,0.0029300269670784473,0.016889192163944244,386280,ok,False,,,,
semantic_coarse_r1_sparse,8,3,354,2218,,,False,True,32,0,7.515211891363987e-09,True,0.012722695712000132,0.007484203204512596,0.028609371278434992,386532,ok,False,,,,
semantic_coarse_r2_sparse,8,3,354,2218,,,False,True,32,0,7.515205091883992e-09,True,0.013285687193274498,0.008111875038594007,0.02940563904121518,386852,ok,False,,,,
row_sum,11,4,364,2384,,,False,True,14,0,2.348643031159661e-09,True,0.00018783379346132278,0.002256929874420166,0.014076306018978357,386052,ok,False,,,,
semantic_cell_core_sparse,11,4,364,2384,,,False,True,8,0,1.0114601768917774e-10,True,0.006058838684111834,0.0017521698027849197,0.017110297922044992,386328,ok,False,,,,
semantic_coarse_r1_sparse,11,4,364,2384,,,False,True,19,0,3.845721476444138e-09,True,0.013626908883452415,0.004322559107095003,0.027434709016233683,386676,ok,False,,,,
semantic_coarse_r2_sparse,11,4,364,2384,,,False,True,19,0,3.845720583830279e-09,True,0.01440613716840744,0.004732061177492142,0.028040499426424503,387072,ok,False,,,,
row_sum,14,5,367,2387,,,False,True,28,0,2.211294723975484e-09,True,0.0001978822983801365,0.0030697998590767384,0.01225230097770691,386012,ok,False,,,,
semantic_cell_core_sparse,14,5,367,2387,,,False,True,7,0,2.2225427577149685e-09,True,0.006189093925058842,0.001649445854127407,0.017062058206647635,386272,ok,False,,,,
semantic_coarse_r1_sparse,14,5,367,2387,,,False,True,26,0,2.433698345011351e-09,True,0.013846543151885271,0.0059794289991259575,0.028708698228001595,386680,ok,False,,,,
semantic_coarse_r2_sparse,14,5,367,2387,,,False,True,26,0,2.4336971003647878e-09,True,0.014469244983047247,0.0066316681914031506,0.029592751991003752,387044,ok,False,,,,
row_sum,18,6,313,2045,,,False,True,26,0,9.317197718914884e-10,True,0.0002171490341424942,0.0030560949817299843,0.011421797797083855,385788,ok,False,,,,
semantic_cell_core_sparse,18,6,313,2045,,,False,True,8,0,1.176224072207347e-10,True,0.005701746325939894,0.001813654787838459,0.016526459250599146,386008,ok,False,,,,
semantic_coarse_r1_sparse,18,6,313,2045,,,False,True,16,0,6.868215097214703e-09,True,0.011769642122089863,0.0037162378430366516,0.023244168143719435,386404,ok,False,,,,
semantic_coarse_r2_sparse,18,6,313,2045,,,False,True,16,0,6.868217378460556e-09,True,0.012693691998720169,0.004057830665260553,0.024554303847253323,386628,ok,False,,,,
row_sum,19,7,160,1028,,,False,True,14,0,1.5204181643868174e-09,True,0.00017386721447110176,0.0016121859662234783,0.0059675672091543674,385140,ok,False,,,,
semantic_cell_core_sparse,19,7,160,1028,,,False,True,8,0,9.834282985264464e-11,True,0.002861066721379757,0.0014778231270611286,0.008347457740455866,385448,ok,False,,,,
semantic_coarse_r1_sparse,19,7,160,1028,,,False,True,11,0,3.084770816812002e-09,True,0.0065238443203270435,0.0022427430376410484,0.012970543000847101,385700,ok,False,,,,
